,Player_Name,Rounds,Fairway_Percentage,Year,Avg_Distance,gir,Average_Putts,Average_Scrambling,Average_Score,Points,Wins,Top_10,Average_SG_Putts,Average_SG_Total,SG_OTT,SG_APR,SG_ARG,Money,driving_ranking,best_putters,best_approachers,best_pw,Predictive_Ranking
320,Dustin Johnson,77,59.46,2018,314.0,70.57,28.47,62.5,68.69800000000001,2717,3,10,0.385,2.372,0.919,0.8290000000000001,0.23800000000000002,8457352,374,327,374,320,639.950025
343,Justin Thomas,91,58.41,2018,311.8,68.77,28.33,62.47,69.118,2634,3,8,0.272,1.835,0.408,0.8440000000000001,0.311,8694821,368,286,376,343,637.1608349999999
335,Justin Thomas,86,54.09,2017,309.3,67.33,28.29,60.54,69.359,2689,4,9,0.332,1.724,0.452,0.738,0.289,9921560,359,302,371,335,631.097655
358,Tiger Woods,68,59.35,2018,303.6,67.4,28.49,64.16,69.35,1162,0,5,0.266,1.5959999999999999,0.061,0.883,0.385,5443841,325,284,377,358,626.240122
372,Justin Rose,70,66.02,2018,303.5,69.95,28.67,63.03,68.993,1991,2,8,0.424,1.952,0.551,0.526,0.45,8130678,323,338,348,372,625.754451
312,Tony Finau,105,55.09,2018,315.1,70.18,29.03,57.22,69.52,1509,0,8,0.23199999999999998,1.435,0.48100000000000004,0.5,0.222,5620138,377,270,339,312,597.212556
353,Rickie Fowler,78,63.29,2017,300.5,66.98,28.32,62.85,69.083,1832,1,9,0.852,1.875,0.37799999999999995,0.408,0.349,6083197,287,381,313,353,590.479508
339,Tommy Fleetwood,73,64.98,2018,306.9,69.36,29.3,55.77,69.342,1130,0,5,0.324,1.6059999999999999,0.58,0.405,0.29600000000000004,3935147,346,299,312,339,584.9340000000001
368,Jordan Spieth,85,59.48,2017,295.0,69.97,28.34,61.75,68.846,2671,3,8,0.278,1.9880000000000002,0.321,0.8959999999999999,0.429,9433033,198,290,379,368,582.295739
227,Bryson DeChambeau,93,62.23,2018,305.7,69.65,29.18,59.84,69.646,1617,1,7,0.34600000000000003,1.558,0.586,0.556,0.07,8094489,338,313,356,227,569.974566
260,Dustin Johnson,77,56.44,2017,314.4,69.61,29.0,62.63,69.54899999999999,2466,3,7,0.019,1.972,1.071,0.67,0.121,8732193,375,175,368,260,568.82919
322,Rickie Fowler,74,65.33,2018,299.8,69.52,28.99,63.05,69.435,1302,0,4,0.29600000000000004,1.275,0.244,0.494,0.242,4235237,278,294,337,322,566.725947
240,Phil Mickelson,90,52.91,2018,300.3,64.88,28.11,58.36,70.098,1546,1,6,0.51,0.9309999999999999,-0.225,0.555,0.091,4595187,285,359,354,240,565.397694
273,Hideki Matsuyama,75,62.82,2018,302.0,69.29,29.21,60.8,70.02199999999999,607,0,2,0.132,1.196,0.19399999999999998,0.727,0.14300000000000002,2687477,304,231,370,273,562.604362
355,Webb Simpson,95,62.34,2018,293.7,67.93,28.47,66.1,69.293,1710,1,7,0.6920000000000001,1.432,-0.11599999999999999,0.486,0.37,5376417,179,374,334,355,560.691522
249,Paul Casey,74,63.14,2018,304.3,67.84,29.07,60.58,69.85,1319,1,5,0.133,0.966,0.138,0.586,0.109,3641771,326,233,362,249,556.346114
349,Marc Leishman,94,57.64,2017,298.1,67.38,28.77,60.99,69.468,1324,1,5,0.35600000000000004,1.4240000000000002,0.319,0.41,0.337,5866391,245,318,315,349,555.791027
351,Hideki Matsuyama,83,57.61,2017,302.9,69.14,28.96,61.25,69.624,2869,3,7,-0.345,1.058,0.508,0.758,0.34600000000000003,8380570,315,45,372,351,549.354621
218,Jon Rahm,90,58.61,2017,305.8,68.79,28.81,63.74,69.561,1754,1,7,0.256,1.871,0.9490000000000001,0.515,0.057,6123248,339,278,344,218,548.403669
346,Rory McIlroy,64,55.79,2018,319.7,66.3,28.46,62.97,69.303,1154,1,5,0.06,1.412,0.7609999999999999,0.26899999999999996,0.322,4410296,381,200,270,346,544.739423
261,Paul Casey,94,63.46,2017,297.0,69.96,29.02,64.52,69.469,1135,0,6,0.133,1.537,0.349,0.9390000000000001,0.122,3906974,232,232,380,261,535.921367
308,Phil Mickelson,85,55.05,2017,293.5,62.85,28.25,60.0,70.168,734,0,4,0.337,1.048,-0.057999999999999996,0.5529999999999999,0.21600000000000005,2102599,173,308,353,308,533.761332
347,Francesco Molinari,73,65.04,2018,301.0,70.24,29.63,58.67,69.797,1682,2,4,-0.48700000000000004,1.123,0.69,0.593,0.327,5065842,297,17,364,347,526.986983
264,Adam Scott,78,62.51,2018,304.6,70.66,30.15,54.85,70.42,623,0,2,-0.285,0.779,0.3,0.639,0.125,2237641,329,62,367,264,519.855544
278,Brooks Koepka,64,56.85,2018,313.4,68.28,28.76,63.28,69.444,2012,2,5,0.168,1.22,0.6579999999999999,0.23199999999999998,0.162,7094047,372,247,254,278,514.449069
266,Charl Schwartzel,63,53.59,2017,298.4,61.69,28.45,60.5,70.211,727,0,3,0.257,0.8029999999999999,-0.023,0.39899999999999997,0.127,2156036,252,279,311,266,510.291474
275,Patrick Cantlay,87,61.58,2018,303.1,70.69,29.8,57.58,69.899,1388,1,6,-0.182,1.0959999999999999,0.622,0.509,0.146,3963962,318,88,343,275,510.24949399999997
356,Justin Rose,66,58.48,2017,300.4,68.19,29.15,59.44,69.699,996,0,4,-0.063,1.268,0.5589999999999999,0.363,0.373,4245308,286,129,296,356,509.293317
282,Byeong Hun An,86,60.19,2018,307.9,67.99,29.31,61.16,70.19,913,0,4,-0.285,0.805,0.475,0.44799999999999995,0.16699999999999998,2599264,351,61,327,282,507.65194499999996
281,Jimmy Walker,81,53.49,2018,299.0,61.9,28.34,59.09,70.786,719,0,4,0.324,0.35700000000000004,-0.4370000000000001,0.304,0.166,2027312,263,300,282,281,506.29742200000004
366,Zach Johnson,94,63.88,2018,289.8,67.43,28.62,62.35,69.911,839,0,2,0.20600000000000002,1.035,-0.059000000000000004,0.46299999999999997,0.425,1957635,114,262,328,366,503.719426
204,Adam Scott,58,55.99,2017,306.1,66.87,29.29,59.28,69.99600000000001,642,0,4,-0.09699999999999999,1.0659999999999998,0.524,0.536,0.043,1695144,340,116,350,204,502.20569
243,Rafa Cabrera Bello,75,67.85,2018,295.1,70.16,29.47,57.98,69.887,784,0,4,0.273,1.112,0.256,0.48700000000000004,0.096,2449869,201,287,335,243,499.33545200000003
344,Brandt Snedeker,53,61.98,2017,280.8,66.06,28.5,64.06,70.055,663,0,4,0.5720000000000001,0.862,-0.311,0.503,0.314,1625806,27,367,340,344,497.11924999999997
325,Tyrrell Hatton,58,61.84,2018,298.8,66.46,29.2,62.58,70.09100000000001,550,0,4,0.335,0.938,0.14800000000000002,0.20199999999999999,0.252,1943360,259,306,241,325,495.704559
290,Jordan Spieth,81,61.55,2018,299.8,70.47,29.09,61.63,69.904,945,0,5,-0.034,0.83,0.271,0.409,0.184,2793536,279,142,314,290,495.264195
377,Bill Haas,92,58.05,2017,292.3,67.28,29.09,63.1,70.01100000000001,946,0,3,0.055,0.763,-0.047,0.39899999999999997,0.516,2842173,157,198,309,377,494.42212900000004
334,Kevin Na,86,60.46,2017,283.6,65.46,28.79,62.06,70.399,584,0,4,0.265,0.755,-0.406,0.631,0.28800000000000003,1728351,41,283,366,334,493.65604399999995
380,Patrick Reed,94,55.11,2018,298.1,63.57,28.33,62.94,70.10600000000001,1555,1,7,0.16399999999999998,0.9470000000000001,0.051,0.187,0.545,5006267,247,242,237,380,493.222096
142,Stewart Cink,93,54.15,2017,295.8,68.54,29.11,58.53,70.21300000000001,583,0,3,0.28600000000000003,1.043,-0.019,0.7929999999999999,-0.05,1463922,216,292,373,142,491.495091
102,Chesson Hadley,103,60.07,2018,300.0,67.68,28.99,56.6,70.311,1122,0,7,0.20800000000000002,0.8590000000000001,0.146,0.606,-0.102,2768863,284,263,365,102,488.490188
202,Gary Woodland,94,58.9,2017,306.9,69.35,29.76,58.21,70.482,1052,0,5,-0.381,0.6920000000000001,0.431,0.5710000000000001,0.039,2980225,347,36,359,202,488.339542
357,Kevin Na,91,64.13,2018,289.6,64.66,28.07,63.62,70.288,1183,1,4,0.5329999999999999,0.8009999999999999,-0.37799999999999995,0.273,0.373,3578316,108,362,271,357,484.97781999999995
224,Tony Finau,106,57.53,2017,309.2,68.96,29.26,59.38,69.987,1024,0,6,-0.133,1.147,0.826,0.39,0.065,2838629,358,104,308,224,484.753254
324,Ollie Schniederjans,91,52.22,2018,301.4,62.77,28.44,56.95,70.641,573,0,3,0.325,0.254,-0.41,0.09,0.25,1303610,301,301,202,324,483.22745199999997
187,Patrick Cantlay,52,61.47,2017,298.9,69.21,29.19,60.15,69.971,578,0,2,0.159,1.2690000000000001,0.623,0.467,0.021,2049632,260,241,329,187,482.714353
283,Harris English,84,49.8,2017,301.2,63.73,28.71,59.79,70.848,397,0,2,0.374,0.017,-0.644,0.138,0.16899999999999998,864959,300,324,216,283,482.002877
239,Brendan Steele,89,62.28,2017,299.9,67.29,29.4,60.51,70.503,1226,1,4,-0.013000000000000001,0.77,0.387,0.41100000000000003,0.09,2907095,281,160,317,239,481.899021
229,Luke List,102,55.63,2017,311.5,69.1,29.52,56.33,70.428,741,0,3,-0.426,0.691,0.6,0.44299999999999995,0.07400000000000001,1813219,367,27,326,229,481.81973500000004
337,Marc Leishman,93,60.17,2018,298.5,66.67,28.94,59.07,70.26,1148,0,6,0.126,0.624,-0.006,0.21100000000000002,0.292,3771221,255,229,244,337,479.835951
330,Jamie Lovemark,98,56.54,2017,304.5,65.94,28.87,60.11,70.391,787,0,4,-0.017,0.7090000000000001,0.319,0.183,0.258,1886972,327,155,236,330,479.722304
294,Louis Oosthuizen,69,59.98,2017,295.2,65.13,28.91,62.91,70.22,956,0,3,0.53,1.179,0.301,0.215,0.18899999999999997,3105422,204,361,246,294,479.403723
373,Jason Day,75,58.32,2018,310.0,65.28,28.24,62.35,69.60300000000001,1771,2,5,0.77,1.285,0.17600000000000002,-0.14,0.479,5087461,361,378,103,373,479.19666299999994
332,Jason Day,71,53.73,2017,306.3,63.98,28.22,59.04,70.115,756,0,3,0.354,1.109,0.311,-0.004,0.273,2978181,344,316,161,332,479.05172100000004
375,Ian Poulter,72,62.55,2017,283.5,64.46,28.44,67.36,70.045,760,0,2,0.025,0.9359999999999999,-0.162,0.573,0.501,2098346,40,180,360,375,477.513285
315,Seamus Power,86,53.27,2017,298.1,65.63,28.46,63.43,70.543,350,0,1,0.174,0.5379999999999999,-0.067,0.20199999999999999,0.22899999999999998,646180,249,251,243,315,473.63444400000003
367,Webb Simpson,102,65.51,2017,286.2,65.26,28.52,65.15,70.018,1058,0,4,0.049,0.945,-0.036000000000000004,0.503,0.426,3209646,63,193,341,367,473.609086
352,Luke List,98,54.66,2018,314.6,68.36,29.45,58.41,70.229,1080,0,5,-0.467,0.87,0.795,0.19399999999999998,0.349,2710736,376,19,238,352,472.299603
241,Rory McIlroy,51,54.97,2017,316.7,65.94,28.65,63.12,69.529,803,0,6,-0.304,1.212,0.965,0.322,0.095,2430182,379,56,286,241,471.41289
295,Chris Kirk,108,64.64,2018,289.8,68.24,28.9,63.53,70.411,756,0,4,0.073,0.732,-0.048,0.518,0.19,1824111,116,202,346,295,470.952309
267,Francesco Molinari,75,69.8,2017,291.9,67.22,28.91,62.95,69.80199999999999,1010,0,5,-0.08900000000000001,1.4180000000000001,0.483,0.8420000000000001,0.128,2875850,151,118,375,267,470.563047
371,Pat Perez,93,61.46,2017,290.6,66.04,28.66,63.38,70.25,1461,1,5,0.34600000000000003,0.877,-0.147,0.222,0.44,4361400,125,312,251,371,469.632123
191,Keegan Bradley,98,67.9,2018,299.6,69.18,29.68,56.78,70.303,872,0,4,-0.358,0.7929999999999999,0.237,0.888,0.026000000000000002,4069464,275,40,378,191,469.27753600000005
288,Sergio Garcia,65,61.08,2017,300.9,69.73,29.38,61.39,69.596,1085,1,2,-0.311,0.941,0.795,0.37799999999999995,0.182,3522476,295,53,302,288,467.662946
263,Branden Grace,67,63.49,2018,298.9,67.1,29.34,57.78,70.41199999999998,590,0,2,0.35,0.812,0.163,0.174,0.125,1529289,261,315,232,263,466.752785
217,Stewart Cink,87,57.6,2018,298.1,68.58,29.53,55.69,70.44,758,0,3,-0.345,0.465,0.057,0.698,0.055,1887208,248,46,369,217,464.545034
293,Andrew Putnam,97,60.42,2018,293.8,70.47,29.36,61.52,70.579,1026,1,5,0.052000000000000005,0.47200000000000003,-0.146,0.38,0.187,2387382,180,195,304,293,464.248388
209,Ian Poulter,73,66.41,2018,293.6,67.01,28.97,57.11,70.593,1030,1,4,0.223,0.85,0.141,0.435,0.051,2714450,178,266,324,209,462.246631
370,Seung-Yul Noh,91,53.09,2017,298.5,65.58,28.74,59.18,70.955,446,0,3,0.244,0.18600000000000005,-0.541,0.044000000000000004,0.439,1080706,254,275,182,370,462.107683
186,Brooks Koepka,88,54.14,2017,310.5,62.28,28.32,56.2,69.847,1736,1,6,0.581,0.9540000000000001,0.546,0.057999999999999996,0.019,5612397,365,369,190,186,461.80447000000004
76,Daniel Berger,81,64.58,2018,297.7,66.89,29.42,58.94,70.32,565,0,1,0.319,0.816,0.1,0.5429999999999999,-0.145,1721763,242,298,351,76,460.514543
113,Daniel Berger,91,60.02,2017,296.5,66.93,28.73,62.8,70.12100000000001,1623,1,6,0.149,1.032,0.282,0.57,-0.09,4287161,226,238,358,113,457.800293
242,Charles Howell III,104,62.59,2018,300.9,69.33,29.5,60.87,70.219,885,0,4,0.21899999999999997,0.8009999999999999,0.324,0.163,0.095,2179725,294,264,226,242,452.874674
271,Lucas Glover,93,65.31,2017,298.1,70.08,29.52,60.13,70.139,706,0,4,-0.026000000000000002,0.9329999999999999,0.502,0.301,0.14,1955822,246,148,280,271,451.628271
156,Xander Schauffele,96,59.77,2018,304.9,65.59,29.18,57.81,70.486,1081,0,5,0.196,0.644,0.24,0.235,-0.027000000000000003,4047538,332,255,255,156,450.31128
38,Gary Woodland,96,63.69,2018,313.5,70.51,29.93,54.45,70.161,1044,1,3,0.006999999999999999,1.0659999999999998,0.8029999999999999,0.484,-0.228,3108907,373,171,333,38,449.442895
342,Aaron Baddeley,61,52.25,2017,292.6,62.57,28.49,59.9,71.483,325,0,2,0.044000000000000004,-0.172,-0.782,0.256,0.31,755356,160,191,265,342,447.93026800000007
247,Kevin Chappell,95,57.61,2017,304.7,65.05,29.35,56.56,70.779,1015,1,4,-0.303,0.45899999999999996,0.442,0.294,0.106,3149615,330,57,275,247,446.655169
303,Martin Laird,83,64.82,2017,296.1,65.61,28.92,60.94,70.45,676,0,5,0.253,0.8109999999999999,0.235,0.139,0.203,1759706,220,277,218,303,446.4599300000001
333,Ryan Moore,78,71.94,2018,289.2,68.8,29.17,64.16,70.015,795,0,5,-0.271,0.941,0.406,0.532,0.273,1986608,102,68,349,333,446.07427
244,Scott Piercy,84,65.68,2018,296.6,69.72,29.86,55.96,70.736,802,1,2,-0.569,0.29,0.209,0.5529999999999999,0.09699999999999999,1882337,228,10,352,244,445.72275
369,Matt Kuchar,95,65.36,2017,285.1,66.6,28.7,65.78,69.806,1260,0,6,0.332,1.1059999999999999,0.158,0.253,0.43,4282489,50,303,264,369,445.260582
201,Kyle Stanley,104,68.55,2017,296.5,70.39,29.63,58.35,69.98899999999999,1204,1,5,-0.309,0.951,0.659,0.562,0.038,3402106,227,54,357,201,443.126619
233,Charles Howell III,86,54.72,2017,296.9,67.01,29.11,62.63,70.37100000000002,1102,0,5,0.172,0.4920000000000001,0.016,0.223,0.081,2606383,230,249,252,233,437.54957199999996
135,Ryan Palmer,61,56.94,2017,303.1,65.9,30.08,57.83,71.116,336,0,3,-1.159,-0.127,0.5329999999999999,0.555,-0.057999999999999996,772560,319,0,355,135,436.24333300000006
304,Martin Laird,73,63.22,2018,299.0,65.9,28.83,59.15,70.839,443,0,3,0.282,0.47,-0.045,0.024,0.209,1017580,265,291,171,304,435.64317500000004
378,Jamie Lovemark,92,56.92,2018,303.2,64.65,28.64,61.07,70.734,576,0,3,0.01,0.38799999999999996,-0.10099999999999999,-0.04,0.519,1377286,320,174,140,378,434.27325200000007
92,Jimmy Walker,68,55.97,2017,295.7,63.75,28.86,57.92,71.155,439,0,1,0.135,0.355,-0.258,0.518,-0.12300000000000001,1101162,213,235,345,92,433.755973
272,Wesley Bryan,95,57.89,2017,279.6,60.92,28.12,61.5,71.062,1046,1,5,0.34,0.16699999999999998,-0.899,0.42100000000000004,0.141,2495751,20,310,319,272,433.53583699999996
176,Russell Henley,99,62.79,2017,297.6,67.32,28.99,57.22,70.027,1129,1,4,0.434,0.917,0.31,0.196,0.0,3413876,239,340,239,176,433.45544400000006
362,Cameron Smith,86,56.26,2017,292.6,63.14,28.52,58.64,70.90899999999998,847,1,4,0.084,0.502,-0.13,0.149,0.39899999999999997,2123216,161,212,222,362,432.083311
5,Graham DeLaet,82,63.68,2017,301.1,68.57,29.41,56.51,70.376,640,0,6,0.29100000000000004,0.768,0.486,0.4270000000000001,-0.436,1603666,299,293,322,5,431.934221
228,Byeong Hun An,77,56.76,2017,299.9,64.52,29.2,55.93,70.887,468,0,3,-0.375,0.617,0.524,0.369,0.071,1236090,280,37,297,228,428.5788
381,Aaron Baddeley,84,53.27,2018,295.3,63.39,28.85,61.09,70.85,342,0,1,-0.057,0.309,-0.345,0.11699999999999999,0.595,725928,205,134,211,381,428.302795
94,Emiliano Grillo,94,70.16,2018,295.2,68.84,29.04,61.05,70.152,901,0,5,0.546,1.133,0.364,0.345,-0.122,2493163,203,364,291,94,428.174054
255,Billy Hurley III,80,60.57,2017,276.9,63.61,28.76,58.78,71.176,333,0,1,0.374,0.11,-0.812,0.4320000000000001,0.11699999999999999,719579,6,323,323,255,427.235555
225,Kevin Kisner,105,67.0,2017,288.7,66.43,28.79,62.5,70.294,1612,1,7,0.38799999999999996,1.148,0.257,0.33399999999999996,0.065,4766936,93,328,289,225,427.10881900000004
363,Wesley Bryan,69,55.41,2018,280.4,61.28,28.1,60.17,71.55199999999998,219,0,0,0.36,-0.45399999999999996,-1.443,0.222,0.40700000000000003,498166,23,320,250,363,426.683224
104,Jason Kokrak,99,58.06,2018,309.5,70.37,29.59,55.11,70.444,700,0,4,0.022000000000000002,0.539,0.36,0.257,-0.10099999999999999,1794431,360,178,266,104,426.283032
161,Scott Stallings,96,56.57,2018,299.7,65.62,29.14,60.86,70.719,470,0,2,-0.07,0.27,-0.008,0.373,-0.025,1147573,276,126,299,161,425.12918399999995
154,Alex Noren,67,61.73,2018,299.2,64.91,28.97,61.74,69.973,989,0,3,0.758,1.044,0.20800000000000002,0.107,-0.028999999999999998,2699150,268,377,209,154,425.00588200000004
306,Matt Kuchar,88,63.27,2018,288.0,66.81,28.85,63.6,70.461,679,0,4,0.348,0.5760000000000001,-0.19899999999999998,0.21600000000000005,0.21100000000000002,1720097,84,314,247,306,423.685903
150,Ollie Schniederjans,92,51.89,2017,300.7,66.03,29.15,58.65,70.704,882,0,5,-0.019,0.38299999999999995,0.125,0.309,-0.032,1935669,289,154,284,150,422.938667
143,Bud Cauley,92,59.83,2017,296.0,67.38,29.24,59.21,70.432,666,0,5,-0.273,0.561,0.264,0.588,-0.05,1553685,217,66,363,143,422.45719299999996
286,Jon Rahm,71,59.2,2018,308.9,70.12,29.14,57.18,69.958,1430,1,5,-0.151,0.889,0.8170000000000001,0.047,0.17600000000000002,3992678,356,97,184,286,420.125205
34,Nick Watney,75,55.67,2017,300.9,66.43,29.45,58.99,70.685,386,0,1,-0.113,0.171,-0.063,0.585,-0.23800000000000002,824162,296,111,361,34,419.879352
269,J.B. Holmes,83,49.75,2017,306.4,62.19,28.88,56.12,70.66,543,0,2,-0.032,0.521,0.5329999999999999,0.039,0.13699999999999998,1353584,345,145,179,269,418.387044
311,Cameron Smith,85,57.03,2018,298.4,63.18,28.36,61.12,70.517,821,0,5,0.115,0.21899999999999997,-0.14800000000000002,0.034,0.218,3622607,253,222,175,311,417.391589
151,Charley Hoffman,112,57.72,2017,298.3,66.13,29.0,56.78,70.351,1498,0,7,-0.012,0.78,0.586,0.349,-0.031,4161008,251,161,293,151,416.35047399999996
323,Patrick Reed,107,56.52,2017,295.3,62.09,28.33,60.92,70.453,896,0,3,0.5770000000000001,0.893,0.19899999999999998,-0.049,0.25,3055111,206,368,134,323,414.99165300000004
345,Brandt Snedeker,84,62.79,2018,293.1,65.04,28.63,60.08,70.37899999999998,1077,1,4,0.478,0.625,-0.145,-0.026000000000000002,0.318,2448970,169,350,146,345,412.753778
157,Henrik Stenson,60,75.19,2018,291.5,73.51,29.93,60.67,69.617,868,0,5,-0.207,1.153,0.4270000000000001,0.96,-0.027000000000000003,2680487,139,77,381,157,412.651712
317,Camilo Villegas,76,54.37,2017,288.7,61.88,28.31,62.35,70.881,464,0,2,0.4,0.218,-0.524,0.107,0.235,971420,94,331,210,317,410.84503599999994
63,Billy Horschel,86,67.8,2018,295.4,71.75,29.46,58.03,70.154,960,1,3,0.392,1.112,0.5379999999999999,0.35200000000000004,-0.16899999999999998,4315200,208,330,294,63,409.92426900000004
321,Bud Cauley,55,60.81,2018,295.4,64.26,28.58,60.12,71.35600000000002,405,0,2,0.3670000000000001,0.461,-0.113,-0.032,0.239,900591,207,322,145,321,409.566967
329,Ricky Barnes,65,47.15,2018,290.6,63.75,28.25,57.4,71.663,164,0,1,0.33799999999999997,-0.365,-1.0190000000000001,0.059000000000000004,0.257,340591,123,309,191,329,407.988174
203,Aaron Wise,90,63.33,2018,302.9,68.81,29.15,56.28,70.247,1086,1,3,0.23800000000000002,0.703,0.41,0.012,0.042,3486407,316,272,166,203,405.215087
84,Jason Dufner,89,63.3,2017,294.5,67.15,29.21,57.72,70.259,1126,1,2,-0.001,0.7340000000000001,0.268,0.519,-0.133,3310341,194,166,347,84,405.003383
15,Bronson Burgoon,69,64.53,2018,302.8,68.44,29.55,55.61,70.70100000000002,446,0,2,0.107,0.48100000000000004,0.309,0.371,-0.307,1179616,313,217,298,15,403.655113
182,Shawn Stefani,76,56.52,2018,299.6,67.49,29.27,58.43,71.192,268,0,1,-0.034,0.107,-0.09300000000000001,0.22,0.013000000000000001,523204,274,141,249,182,401.869036
184,Kevin Streelman,94,69.11,2018,295.1,71.56,29.67,60.93,70.436,673,0,5,-0.25,0.619,0.439,0.415,0.013999999999999999,1523642,199,71,318,184,401.858408
155,Kyle Stanley,93,71.29,2018,295.7,71.09,29.89,54.8,70.404,1198,0,5,0.037000000000000005,0.6859999999999999,0.37799999999999995,0.298,-0.027000000000000003,3916001,214,189,279,155,400.972657
72,Patton Kizzire,92,55.59,2018,298.7,69.04,29.53,55.24,70.84100000000002,1386,2,4,0.03,-0.033,-0.294,0.381,-0.15,3541151,256,184,306,72,400.97017800000003
331,Adam Hadwin,92,65.6,2018,289.4,68.04,29.26,58.59,70.75,638,0,3,0.106,0.596,0.057,0.166,0.267,1932488,105,215,227,331,400.934176
197,J.B. Holmes,77,57.13,2018,306.1,65.26,29.01,57.14,70.789,640,0,3,-0.207,0.5489999999999999,0.565,0.159,0.032,1595942,341,78,225,197,400.656817
